row_id,f1,f2,f3,f4
R00495,serve,0.093729,7.107763,4.790681,1.272320
R00496,serve,0.032052,3.595792,4.867682,-1.334104
R00497,serve,-0.620660,7.841553,4.248642,-0.366807
R00498,serve,-1.381075,7.467799,4.399024,0.253331
R00499,serve,-2.017504,9.196263,4.701841,-1.191227
R00500,serve,-1.232277,8.937147,4.461210,-1.856190
R00501,serve,-0.118355,7.983426,4.618668,-1.019786
R00502,serve,-0.102067,3.478426,4.663577,1.561004
R00503,serve,-2.420070,9.772331,4.484860,-1.936961
R00504,serve,-2.174309,5.333000,4.234139,0.580036
R00505,serve,-0.599473,8.145466,4.364956,-0.368177
R00506,serve,-1.224479,3.834847,4.366948,-1.645289
R00507,serve,-0.505579,7.529386,3.831371,-0.252371
R00508,serve,-1.426144,2.009136,5.013131,-0.933469
R00509,serve,-0.260949,9.446236,4.170677,-0.679324
R00510,serve,-0.518562,8.903922,3.946220,-1.207795
R00511,serve,-0.343195,8.785053,4.650469,-0.141272
R00512,serve,0.532524,6.145314,4.462420,-1.537478
R00513,serve,-1.326968,2.676939,4.717163,0.145094
R00514,serve,0.120518,6.252856,4.488492,-0.594750
R00515,serve,-0.450826,4.983016,4.228639,0.224633
R00516,serve,-0.155741,8.659525,4.985864,-0.937357
R00517,serve,-1.174428,6.748400,4.132923,-1.025509
R00518,serve,-1.261518,5.592997,4.752885,-0.040639
R00519,serve,-0.905934,7.487643,4.758667,-0.051709
R00520,serve,-0.562330,5.687392,4.237513,0.345186
R00521,serve,-0.347950,5.665955,4.290849,0.661956
R00522,serve,-0.836945,5.578272,3.730360,-0.297140
R00523,serve,-0.860474,4.456137,4.970784,0.025166
R00524,serve,-0.564648,6.236720,4.013453,-1.124101
R00525,serve,-1.121425,10.183805,4.741409,-0.111920
R00526,serve,-1.222734,4.791721,4.003862,-0.864848
R00527,serve,-1.405927,7.119161,4.640977,-0.297697
R00528,serve,-0.868709,7.095623,3.885011,-1.490283
R00529,serve,-0.395780,8.598748,3.999150,0.375562
R00530,serve,-1.515679,10.434694,4.544686,0.354825
R00531,serve,0.285595,2.081594,4.413447,-0.233689
R00532,serve,-0.528287,6.624108,4.216768,0.469816
R00533,serve,-0.105766,11.161861,4.093276,-0.167359
R00534,serve,-1.440476,6.214686,5.154342,-1.901042
R00535,serve,-0.831542,10.272945,4.242283,0.215467
R00536,serve,-0.762450,8.802705,4.323875,-2.450814
R00537,serve,-0.727175,7.436781,4.835249,-1.246080
R00538,serve,-0.563714,5.297316,4.487683,-2.653360
R00539,serve,-1.494776,4.535948,4.443911,-1.375273
R00540,serve,-0.150301,6.814151,4.482546,-3.970878
R00541,serve,-1.213046,8.906858,4.643463,-0.613632
R00542,serve,-0.233080,8.917557,4.666894,-0.307704
R00543,serve,-0.892164,3.739820,4.369214,-4.660927
R00544,serve,-1.541890,4.367746,4.635622,1.629948
R00545,serve,-0.484991,4.222930,4.675961,-0.065739
R00546,serve,-0.644668,12.021697,4.493373,0.459625
R00547,serve,-0.674657,9.309312,4.858305,-0.270841
R00548,serve,-0.941853,6.687677,4.370939,0.720034
R00549,serve,-1.487377,5.272802,3.812421,1.011862
R00550,serve,-2.000976,7.209887,4.180184,-0.480094
R00551,serve,-1.470157,9.325770,4.338005,1.898787
R00552,serve,-0.788463,8.809968,4.338314,2.232050
R00553,serve,-1.322076,8.634291,3.702061,-1.512177
R00554,serve,-0.840942,10.283234,4.409701,-2.032242
R00555,serve,-0.761335,8.970325,5.004808,-1.697812
R00556,serve,-0.814872,9.058736,4.732876,-0.610189
R00557,serve,0.182844,3.163933,4.334708,-0.660869
R00558,serve,0.247931,3.637571,4.618509,0.527459
R00559,serve,-0.683147,5.627673,4.398927,0.030341
R00560,serve,-0.117709,5.922396,4.041604,-0.696386
R00561,serve,-0.986081,9.623900,4.651040,2.558066
R00562,serve,-1.569089,7.236437,4.440923,1.684525
R00563,serve,-1.506658,6.920348,4.643924,0.565186
R00564,serve,-0.631977,4.390746,4.118139,0.409091
R00565,serve,-0.474723,5.244601,4.736949,0.802952
R00566,serve,1.257560,10.149532,5.353677,0.961585
R00567,serve,-0.289809,6.749792,4.753224,-1.602163
R00568,serve,-1.967217,8.107812,4.451326,0.145927
R00569,serve,-0.769605,8.493131,4.393104,0.916883
R00570,serve,-1.655262,6.728676,4.076493,0.526048
R00571,serve,-0.575980,3.448272,4.255192,-0.758247
R00572,serve,-1.220050,7.581118,4.703642,1.032147
R00573,serve,-2.089256,2.065530,4.412801,-1.874221
R00574,serve,-1.729535,5.658179,4.586441,-2.563434
R00575,serve,-1.980582,9.277767,4.550042,-1.389007
R00576,serve,-1.439297,5.936618,4.946538,0.266602
R00577,serve,-1.280076,7.076675,4.809522,0.371894
R00578,serve,-0.578465,7.402551,4.303981,-1.117175
R00579,serve,-2.595960,5.991067,5.056553,-0.815705
R00580,serve,0.173545,7.001721,4.834213,-1.773131
R00581,serve,-0.596325,7.872897,4.814351,-0.177939
R00582,serve,-0.954831,5.596666,4.994478,-0.401226
R00583,serve,0.772859,9.634425,3.999654,-0.599498
R00584,serve,-0.750847,5.480211,3.986904,-0.328157
R00585,serve,-0.747360,3.917612,4.237753,0.702129
R00586,serve,-1.026464,5.413166,4.065612,0.584506
R00587,serve,-1.745456,10.876034,4.903793,-0.721831
R00588,serve,-0.495131,11.262492,4.549907,-0.092859
R00589,serve,-2.322248,11.724766,5.069416,-1.501230
R00590,serve,-1.322769,4.599102,4.873483,-1.106845
R00591,serve,-1.300434,6.079810,4.496753,-1.097115
R00592,serve,-0.489364,5.703409,3.821181,-0.874883
R00593,serve,-2.117569,9.011901,4.581673,-0.046182
R00594,serve,-1.386015,7.952053,5.044358,0.873148
R00595,serve,-0.816487,7.778482,5.426307,-2.792592
R00596,serve,-0.254358,7.466413,4.676196,-1.634461
R00597,serve,-0.857521,8.816419,3.408765,-0.176357
R00598,serve,-0.359504,7.826478,4.277495,-1.238501
R00599,serve,-0.545589,6.181176,4.811707,-0.738019
R00600,serve,-0.900770,8.937298,4.599810,-1.048327
R00601,serve,0.232435,5.543383,4.737490,-0.927072
R00602,serve,-0.245288,5.751329,4.426126,-0.214300
R00603,serve,-1.581555,9.035018,4.807167,-1.684300
R00604,serve,0.115405,8.853164,3.795370,-1.027648
R00605,serve,0.535610,5.541027,4.443581,-0.028150
R00606,serve,-1.690574,9.249892,4.701558,-1.046840
R00607,serve,-0.846339,4.776611,4.986351,0.890144
R00608,serve,-1.239215,7.109601,4.383051,0.413660
R00609,serve,-0.843953,7.755458,4.512835,-1.087581
R00610,serve,-0.796880,6.167424,4.979692,-1.972548
R00611,serve,-1.765584,4.027769,5.052463,-0.132443
R00612,serve,-1.498614,8.498736,4.169518,-1.854196
R00613,serve,-0.557494,5.450089,4.459875,-1.250773
R00614,serve,-0.613154,9.752985,4.674863,0.937311
R00615,serve,-0.553733,6.720413,4.792150,-0.871917
R00616,serve,-1.398240,9.264878,4.781534,0.130999
R00617,serve,0.146388,8.157677,4.452537,-0.639977
R00618,serve,-0.652674,12.202697,4.676288,-1.139300
R00619,serve,-0.630600,6.411535,4.906486,-1.031424
R00620,serve,-0.876738,5.774430,4.353029,0.414155
R00621,serve,-0.073804,9.229211,4.964350,-0.208253
R00622,serve,-0.723092,9.354215,4.930940,1.509385
R00623,serve,-0.551985,6.317992,4.914610,0.995105
R00624,serve,-0.875867,7.508765,4.493049,-0.691470
R00625,serve,-0.820265,8.219650,4.712040,0.816408
R00626,serve,-0.415263,8.521396,4.392937,-0.669493
R00627,serve,-1.247290,9.938478,4.392652,1.042259
R00628,serve,0.082794,7.148166,5.253918,1.691069
R00629,serve,-0.044688,8.730868,4.593932,-0.454145
R00630,serve,-1.997023,5.833676,4.577118,-1.132975
R00631,serve,-2.588612,4.406962,4.462462,-0.527179
R00632,serve,-0.722706,6.975042,4.770569,0.297915
R00633,serve,-2.697498,5.259835,4.905577,0.299377
R00634,serve,0.246005,7.596644,4.795498,0.848977
R00635,serve,-1.027664,6.503797,4.626341,-2.969790
R00636,serve,0.716193,2.261655,3.919558,-0.614879
R00637,serve,-1.342896,7.019881,4.530222,0.106186
R00638,serve,-0.497415,8.394116,4.859037,0.898855
R00639,serve,-2.015216,6.898058,4.299290,0.354008
R00640,serve,-1.248052,4.112844,5.099121,2.413728
R00641,serve,-0.790067,7.670205,4.134729,1.378751
R00642,serve,-0.843464,2.472356,4.113280,1.494031
R00643,serve,-1.903073,8.886438,3.339535,-2.520498
R00644,serve,-1.347564,6.670491,4.918808,-1.277121
R00645,serve,-0.309050,8.977534,3.785794,-0.263698
R00646,serve,-1.574825,7.302916,4.699454,-0.498816
R00647,serve,-1.716224,9.033660,4.205088,-0.544964
R00648,serve,-0.989014,8.418718,5.111098,-1.214237
R00649,serve,-1.095439,8.281634,5.112696,2.057500
